0	0
-2	4
-4	8
-6	12
-8	16
-10	20
-12	24
-14	28
-16	32
-18	36
-20	40
-22	44
-24	48
-26	52
-28	56
-30	60
-32	64
-34	68
-36	72
-38	76
-40	80
-42	84
-44	88
-46	92
-48	96
-50	100
-50	100
-48	96
-46	92
-44	88
-42	84
-40	80
-38	76
-36	72
-34	68
-32	64
-30	60
-28	56
-26	52
-24	48
-22	44
-20	40
-18	36
-16	32
-14	28
-12	24
-10	20
-8	16
-6	12
-4	8
-2	4
0	0
-4	2
-8	4
-12	6
-16	8
-20	10
-24	12
-28	14
-32	16
-36	18
-40	20
-44	22
-48	24
-52	26
-56	28
-60	30
-64	32
-68	34
-72	36
-76	38
-80	40
-84	42
-88	44
-92	46
-96	48
-100	50
-100	50
-96	48
-92	46
-88	44
-84	42
-80	40
-76	38
-72	36
-68	34
-64	32
-60	30
-56	28
-52	26
-48	24
-44	22
-40	20
-36	18
-32	16
-28	14
-24	12
-20	10
-16	8
-12	6
-8	4
-4	2
0	0
-2	4
-4	8
-6	12
-8	16
-10	20
-12	24
-14	28
-16	32
-18	36
-20	40
-22	44
-24	48
-26	52
-28	56
-30	60
-32	64
-34	68
-36	72
-38	76
-40	80
-42	84
-44	88
-46	92
-48	96
-50	100
-50	100
-48	96
-46	92
-44	88
-42	84
-40	80
-38	76
-36	72
-34	68
-32	64
-30	60
-28	56
-26	52
-24	48
-22	44
-20	40
-18	36
-16	32
-14	28
-12	24
-10	20
-8	16
-6	12
-4	8
-2	4
0	0
-4	2
-8	4
-12	6
-16	8
-20	10
-24	12
-28	14
-32	16
-36	18
-40	20
-44	22
-48	24
-52	26
-56	28
-60	30
-64	32
-68	34
-72	36
-76	38
-80	40
-84	42
-88	44
-92	46
-96	48
-100	50
-100	50
-100	50
-96	48
-92	46
-88	44
-84	42
-80	40
-76	38
-72	36
-68	34
-64	32
-60	30
-56	28
-52	26
-48	24
-44	22
-40	20
-36	18
-32	16
-28	14
-24	12
-20	10
-16	8
-12	6
-8	4
-4	2
0	0
